feature,active_auc_abs,family_mi,stable_signal,leakage_adjusted_score,is_foldseek
helix,0.5873015873015873,0.1322781434883682,0.6916666666666667,0.8861088527011842,False
arginine_r_charge,0.539021164021164,0.07194343698619621,0.6658234126984127,0.8813764169693475,False
gravy,0.5701058201058201,0.04059006087604944,0.6222222222222222,0.8768325866180952,False
n_hbonds,0.5304232804232805,0.30070102029494805,0.836954365079365,0.8766402400697944,False
glutamate_e_charge,0.5740740740740741,0.026968010129992503,0.6032242063492064,0.870035235788749,False
t45_raw,0.5277777777777779,0.14217058471425625,0.704265873015873,0.8615268233690697,False
camsol_frac_poor,0.5396825396825398,0.08494247354484719,0.6496031746031747,0.8557375892858092,False
t40_raw,0.5502645502645502,0.14311860685719768,0.6832341269841269,0.8510274469735037,False
sasa_medium_pct,0.5734126984126984,0.07317813103939752,0.6147817460317461,0.8466044969585471,False
turn,0.5211640211640212,0.009645291857680593,0.5848214285714286,0.8381694702601787,False
triad_best_rmsd,0.6917989417989419,0.392050280517497,0.7719246031746032,0.8237863636859514,False
thumb_total_residues,0.6587301587301587,0.22376433391245154,0.6622023809523809,0.8237442098831216,False
has_dgr_motif,0.5317460317460317,0.0,0.5486111111111112,0.814484126984127,False
sasa_high_pct,0.5800264550264551,0.15700242497299755,0.6390873015873015,0.8113487103707809,False
t55_raw,0.5793650793650794,0.20916047685293204,0.6764880952380953,0.8093002772809359,False
pocket_salt_bridges,0.5277777777777778,0.0,0.5347222222222222,0.7986111111111112,False
best_confidence,0.566137566137566,0.2284984232483338,0.6846230158730159,0.7963179815055486,False
pct_E,0.6805555555555556,0.34875304247420136,0.7103174603174602,0.7890304562395871,False
thumb_surface_positive,0.5568783068783069,0.1894158916942641,0.6461805555555555,0.782557790224011,False
aromaticity,0.7202380952380952,0.2607518498536874,0.6100694444444444,0.7746246046732265,False
sheet,0.503968253968254,0.16552182914498692,0.6424603174603175,0.7703030725857043,False
pocket_hydrophobic_per_res,0.5198412698412698,0.3050834619770062,0.7385912698412698,0.76969930827915,False
camsol_frac_good,0.5568783068783069,0.14449753768527218,0.5985119047619047,0.7685779049371041,False
t50_raw,0.5145502645502645,0.1909762141797775,0.6515873015873016,0.7656302732276007,False
yxdd_y_is_strand,0.5496031746031745,0.16828285391981934,0.6055555555555555,0.7541450024172783,False
foldseek_TM_LTRRetrotransposon,0.7698412698412699,0.4281467377389112,0.6883928571428573,0.7522034387593087,True
clash_binary,0.5238095238095238,0.11567863714658744,0.5739087301587301,0.7490545142035515,False
pct_H,0.7162698412698413,0.5170945063212948,0.7783234126984127,0.7486374535923622,False
foldseek_TM_Telomerase,0.6455026455026455,0.3796604306420184,0.7053571428571428,0.7433631426269518,True
yxdd_d2_is_strand,0.5357142857142857,0.16437888359992758,0.5916666666666667,0.7362396468238639,False
yxdd_d1_is_turn,0.5357142857142857,0.16437888359992758,0.5916666666666667,0.7362396468238639,False
yxdd_x_is_turn,0.5357142857142857,0.16437888359992758,0.5916666666666667,0.7362396468238639,False
pocket_hydrophobic,0.5158730158730159,0.3644103815254285,0.7403273809523809,0.7249561027448175,False
camsol_score,0.5568783068783069,0.2596327306329873,0.6393849206349206,0.7230995260993335,False
D2_D3_dist,0.5515873015873016,0.13701718376152439,0.5423611111111111,0.7153918740836186,False
camsol_mean_profile,0.5185185185185186,0.2666633746301388,0.6503968253968254,0.7096585536834806,False
D1_D2_dist,0.6402116402116402,0.42861998232353615,0.7053571428571428,0.7039979762203107,False
best_s1_len,0.6064814814814816,0.46243907519031113,0.7311507936507935,0.6875622279988011,False
native_net_charge,0.5343915343915344,0.3430201593817772,0.670486111111111,0.6804167587705453,False
n_hydrophobic_contacts,0.5026455026455027,0.48674103669364444,0.7902777777777777,0.6765447515802957,False
hairpin_pass,0.5555555555555556,0.24747057332398725,0.5773809523809523,0.6695558001657397,False
yxdd_mean_hydrophobicity,0.5357142857142857,0.34951848605388314,0.6538690476190476,0.6595873259357781,False
molecular_weight,0.6296296296296297,0.41566857657006073,0.6507936507936508,0.65385703318092,False
best_s2_len,0.5998677248677249,0.3980056002264578,0.6503968253968253,0.6518264876608444,False
t60_raw,0.5277777777777778,0.29277977367584596,0.606845238095238,0.6511492967272424,False
yxdd_hydrophobic_fraction,0.5271164021164021,0.30719472874093157,0.6122023809523809,0.6453645354548833,False
foldseek_TM_MMLVPE,0.7248677248677249,0.6139088817949552,0.732936507936508,0.634938709024154,True
n_strands_total,0.708994708994709,0.5537753618666446,0.6716269841269842,0.6107928172243552,False
t75_raw,0.5026455026455026,0.4401015668969732,0.6889880952380952,0.6102346713881166,False
isoelectric_point,0.5476190476190477,0.4017709213307614,0.6264880952380953,0.5989694280495481,False
thermophilicity_num,0.5132275132275133,0.35455865833783884,0.5895337301587301,0.5802284930191076,False
lysine_k_charge,0.6097883597883597,0.507459249954485,0.6507936507936508,0.575093393221967,False
n_hairpins_found,0.7109788359788359,0.5949749240417019,0.6651785714285714,0.5744367963867129,False
t80_raw,0.5158730158730158,0.4214919735302112,0.6232142857142857,0.5650318135031352,False
aspartate_d_charge,0.6355820105820106,0.4947734115173579,0.5958829365079366,0.5425938831609235,False
foldseek_TM_MMLV,0.7281746031746033,0.719581823574531,0.7153769841269841,0.5397779180333875,True
